Estacion	Altitud	EneP	EneTO	EneTM	EneTMin	FebP	FebTO	FebTM	FebTMin	MarP	MarTO	MarTM	MarTMin	AbrP	AbrTO	AbrTM	AbrTMin	MayP	MayTO	MayTM	MayTMin	JunP	JunTO	JunTM	JunTMin	JulP	JulTO	JulTM	JulTMin	AgoP	AgoTO	AgoTM	AgoTMin	SepP	SepTO	SepTM	SepTMin	OctP	OctTO	OctTM	OctTMin	NovP	NovTO	NovTM	NovTMin	DicP	DicTO	DicTM	DicTMin
16050	1950.00	20.37	8.06	22.49	6.72	6.50	9.27	24.28	7.80	5.98	11.66	27.10	9.57	15.18	14.84	28.84	11.85	44.14	16.98	29.19	13.62	171.96	17.21	26.19	14.44	205.65	15.99	24.22	13.48	172.83	15.83	24.35	13.43	153.78	15.25	24.32	13.17	60.57	13.20	24.18	11.03	18.57	10.67	23.63	8.80	8.68	9.01	22.44	7.45
16052	1830.00	19.16	8.12	23.13	3.69	4.40	9.17	25.09	4.62	6.23	11.11	27.45	6.04	11.16	14.75	29.06	8.55	28.18	16.55	29.78	11.11	129.69	17.08	27.74	13.25	191.05	16.84	25.90	12.71	185.07	16.59	25.64	12.57	136.44	16.12	25.36	12.34	45.38	14.57	25.30	9.69	11.49	11.92	24.63	6.34	6.29	9.11	23.27	4.31
16057	1980.00	13.52	4.40	23.41	2.30	4.62	5.51	25.25	3.13	6.76	7.77	27.65	4.85	8.94	10.78	29.47	7.23	36.58	13.88	30.67	10.29	154.47	15.81	28.37	12.81	218.77	14.80	25.43	12.47	204.54	14.39	25.20	12.14	175.35	13.93	24.94	11.60	55.37	11.00	24.90	8.52	13.77	7.81	24.82	5.42	9.05	5.70	23.89	3.39
16059	305.00	20.62	16.77	35.35	15.34	1.82	18.90	37.09	17.25	2.82	21.71	38.93	19.76	3.48	25.15	40.76	22.61	18.14	27.60	40.91	25.21	211.59	26.22	37.54	24.15	235.48	24.01	34.56	22.18	214.09	23.64	34.59	22.06	167.94	23.24	34.55	21.92	62.09	22.42	35.59	20.93	14.46	20.08	36.16	18.42	5.30	17.52	35.44	16.09
16074	207.00	31.43	15.60	34.37	14.42	1.79	16.54	36.31	15.34	1.95	18.01	38.70	16.44	1.53	21.15	40.62	18.56	19.53	24.49	40.77	21.49	93.78	26.35	38.47	23.98	133.36	24.97	35.43	23.09	145.42	24.95	35.33	22.90	129.72	24.35	34.62	22.74	71.58	23.16	35.21	21.92	11.10	20.49	35.31	19.28	6.54	17.55	34.18	16.24
16075	372.00	19.53	19.76	36.30	17.91	1.74	21.11	38.04	19.69	2.82	22.66	39.82	21.30	3.27	25.77	41.85	23.58	17.58	28.20	41.98	25.68	173.49	26.67	38.38	24.72	195.92	24.26	35.29	22.69	173.01	23.99	35.24	22.59	164.64	23.74	34.99	22.52	65.91	22.96	36.18	21.82	8.76	21.71	37.26	20.49	5.15	19.80	36.44	18.67
16081	1903.00	19.41	8.29	24.27	5.93	6.47	9.68	26.22	6.84	7.07	11.63	28.35	8.67	11.79	13.83	30.10	10.83	45.26	15.41	31.22	12.29	142.86	15.78	29.09	12.90	170.66	15.16	26.60	12.30	167.25	15.18	26.32	12.69	125.88	14.78	25.99	12.44	49.01	13.32	26.20	10.70	12.09	10.88	26.02	8.39	4.99	9.06	25.29	6.65
16090	304.00	28.99	19.34	34.06	17.83	5.57	20.03	36.35	18.28	2.05	21.28	38.43	18.89	0.69	23.32	40.46	20.10	14.76	25.27	40.67	21.95	117.69	25.66	37.93	23.16	145.64	23.93	35.15	22.08	135.13	23.67	35.14	21.93	105.00	23.43	34.57	21.88	52.67	23.02	35.38	21.37	15.96	21.73	35.51	20.10	6.17	20.25	34.58	18.69
16091	1384.00	17.33	7.23	24.42	4.26	5.77	8.85	25.85	5.60	6.57	10.50	28.10	7.22	14.88	12.81	29.71	9.68	33.29	15.00	31.30	11.98	112.59	16.47	29.22	14.05	153.11	16.16	27.03	13.89	136.03	15.80	26.86	13.41	114.69	15.30	26.44	12.94	39.31	13.16	26.10	10.63	13.02	9.89	25.71	6.85	5.61	7.95	24.36	5.12
16093	1533.00	13.89	9.14	26.77	6.87	3.16	10.32	27.99	7.82	4.71	11.89	29.98	8.99	3.21	15.14	32.12	11.57	26.63	18.11	33.83	14.30	171.87	19.42	31.52	16.82	211.64	18.61	29.40	16.68	184.61	18.11	29.52	16.17	129.54	17.74	29.18	15.60	46.87	16.00	29.72	13.07	10.56	12.22	29.13	9.19	10.66	9.69	27.79	7.07
16094	1570.00	32.12	8.17	25.47	5.78	4.00	9.26	27.31	6.77	2.42	12.13	29.55	9.40	6.63	14.70	31.46	11.84	43.59	17.21	32.86	14.35	187.53	18.50	30.45	16.17	187.89	17.25	27.26	15.21	161.70	16.74	27.50	14.77	130.05	16.41	27.14	14.48	60.54	14.43	27.47	12.44	17.88	11.70	27.37	9.29	10.11	9.33	25.74	7.03
16095	1624.00	29.33	8.13	24.72	6.20	3.89	9.28	26.26	7.35	2.70	12.02	28.55	9.63	7.02	14.53	30.43	11.73	37.29	16.89	31.94	14.17	165.12	18.03	29.37	15.83	182.50	16.71	25.97	14.88	154.57	16.26	26.27	14.54	111.66	15.90	26.23	14.29	54.44	13.83	26.75	12.03	17.82	11.54	26.85	9.48	8.43	9.29	24.89	7.50
16107	685.00	19.65	13.53	32.67	11.25	2.86	14.57	34.64	12.45	4.15	16.32	37.22	14.09	2.61	19.73	39.33	16.86	28.40	22.47	39.52	19.77	208.11	22.85	35.38	21.04	330.34	20.92	31.48	19.50	309.72	20.45	31.03	19.18	267.00	20.33	30.68	19.20	101.31	19.24	31.82	17.80	17.64	16.55	32.80	14.75	4.19	14.00	32.61	12.19
16118	2056.00	28.86	7.56	22.91	2.50	4.59	8.82	23.97	3.63	2.91	10.35	26.11	4.47	3.30	12.81	27.63	6.36	27.75	13.63	28.79	7.76	128.10	14.09	27.29	8.71	152.18	13.39	25.10	8.05	139.90	14.02	25.96	8.66	95.67	13.63	26.14	8.47	46.56	12.31	25.32	6.45	7.38	9.80	24.69	4.11	5.12	8.25	23.21	2.96
